1, 2
5, 6
9
8, 11
12, 13, 14
96, 97
18:1-20
19
22
25
26, 28
29, 30
34
32, 36
37:1-17
40
42, 43
45
47, 48
50
52, 53, 54
56, 57
59
61, 62
68:1-18
69:1-18
66
71
74
75, 76
78:1-18
78:41-73
24, 81
83
86, 87
89:1-18
90
92, 93
95, 96
99, 100, 101
103
105:1-22
106:1-18
107:1-22
108, 110
111, 112
115
119:1-24
119:49-72
119:89-104
119:129-152
118
122, 123
127, 128
132, 133
136
139
140
144
146
148
