3, 4
7
10
15, 16
17
67, 72
18:21-52
20, 21
23, 24
27
31
33
35
38
37:18-41
39, 41
44
46
49
51
55
58, 60
63, 64
65, 67
68:19-36
69:19-37
70, 72
73
77
79, 82
78:19-40
80
84
85
88
89:19-51
91
94
97, 98
102
104
105:23-44
106:19-46
107:23-43
109
113, 114
116, 117
119:25-48
119:73-88
119:105-128
119:153-176
120, 121
124, 125, 126
129, 130, 131
134, 135
137, 138
141, 142
143
145
146
148
