1, Gen 31, John 16:16-33
2, Gen 32, Luke 2:22-40
3, Gen 33, John 17
4, Gen 34, John 18:1-27
5, Gen 35, John 18:28-40
6, Gen 36, John 19:1-37
7, Gen 37, John 19:38-42
8, Gen 38, John 20
9, Gen 39, John 21
10, Gen 40, Matt 1:1-17
11, Gen 41, Matt 1:18-25
12, Gen 42, Matt 2
13, Gen 43, Matt 3
14, Gen 44, Matt 4
15, Gen 45, Matt 5:1-20
16, Gen 46, Matt 5:21-48
17, Gen 47, Matt 6:1-18
18, Gen 48, Matt 6:19-34
19, Gen 49, Matt 7
20, Gen 50, Matt 8:1-17
21, Exod 1, Matt 8:18-34
22, Exod 2, Matt 9:1-17
23, Exod 3, Matt 9:18-34
24, Acts 1:15-26, Matt 9:35—10:23
25, Exod 4, Matt 10:24-42
26, Exod 5, Matt 11
27, Exod 6, Matt 12:1-21
28, Exod 7, Matt 12:22-50
29, 2 Kings 2, Luke 24:44-53
