1, Ezek 6, Acts 8:4-25
2, Ezek 7, Acts 8:26-40
3, Ezek 8, Acts 9:1-31
4, Ezek 9, Acts 9:32-43
5, Ezek 10, Acts 10:1-23
6, Ezek 11, Acts 10:24-48
7, Ezek 12, Acts 11:1-18
8, Ezek 13, Acts 11:19-30
9, Ezek 14, Acts 12:1-24
10, Ezek 15, Acts 12:25—13:12
11, Ezek 16, Acts 13:13-43
12, Ezek 17, Acts 13:44—14:7
13, Ezek 18, Acts 14:8-28
14, Ezek 33, Acts 15:1-21
15, Ezek 34, Acts 15:22-35
16, Ezek 35, Acts 15:36—16:5
17, Ezek 36, Acts 16:6-40
18, Ezek 37, Acts 17:1-15
19, Ezek 40, Acts 17:16-34
20, Ezek 43, Acts 18:1-23
21, Ezek 47, Acts 18:24—19:7
22, Dan 1, Acts 19:8-20
23, Dan 2, Acts 19:21-41
24, Dan 3, Acts 20:1-16
25, Dan 4, Acts 20:17-38
26, Dan 5, Acts 21:1-16
27, Dan 6, Acts 21:17-36
28, Dan 7, Acts 21:37—22:22
29, Dan 8, Acts 22:23—23:11
30, Dan 9, Acts 23:12-35
