1, Gen 1, John 1:1-28
2, Gen 2, John 1:29-51
3, Gen 3, John 2
4, Gen 4, John 3:1-21
5, Gen 5, John 3:22-36
6, Gen 6, Matt 2:1-12
7, Gen 7, John 4:1-26
8, Gen 8, John 4:27-54
9, Gen 9, John 5:1-24
10, Gen 10, John 5:25-47
11, Gen 11, John 6:1-21
12, Gen 12, John 6:22-40
13, Gen 13, John 6:41-71
14, Gen 14, John 7:1-24
15, Gen 15, John 7:25-52
16, Gen 16, John 7:53—8:30
17, Gen 17, John 8:31-59
18, Gen 18, Matt 16:13-20
19, Gen 19, John 9
20, Gen 20, John 10:1-21
21, Gen 21, John 10:22-42
22, Gen 22, John 11:1-44
23, Gen 23, John 11:45-57
24, Gen 24, John 12:1-19
25, Acts 9:1-22, John 12:20-50
26, Gen 25, John 13
27, Gen 26, John 14:1-14
28, Gen 27, John 14:15-31
29, Gen 28, John 15:1-17
30, Gen 29, John 15:18-27
31, Gen 30, John 16:1-15
