1, Jonah 3, Matt 4
2, Jonah 4, Matt 5:1-20
3, Mic 1, Matt 5:21-48
4, Mic 2, Matt 6:1-18
5, Mic 3, Matt 6:19-24
6, Mic 4, Matt 7
7, Mic 5, Matt 8:1-17
8, Mic 6, Matt 8:18-38
9, Mic 7, Matt 9:1-17
10, Nahum 1, Matt 9:18-34
11, Nahum 2, Matt 9:35—10:23
12, Nahum 3, Matt 10:24-42
13, Hab 1, Matt 11
14, Hab 2, Matt 12:1-21
15, Hab 3, Matt 12:22-50
16, Zeph 1, Matt 13:1-23
17, Zeph 2, Matt 13:24-43
18, Zeph 3, Matt 13:44-58
19, Hag 1, Matt 14
20, Hag 2, Matt 15:1-28
21, Zech 1, Matt 15:29—16:12
22, Zech 2, Matt 16:13-28
23, Zech 3, Matt 17:1-23
24, Zech 4, Matt 17:24—18:14
25, Zech 5, Matt 18:15-35
26, Zech 6, Matt 19:1-15
27, Zech 7, Matt 19:16—20:16
28, Zech 8, Matt 20:17-35
29, Zech 9, Matt 21:1-22
30, Zech 10, Matt 21:23-46
