1, Jer 31, 1 Cor 15:1-34
2, Jer 32, 1 Cor 15:35-58
3, Jer 33, 1 Cor 16
4, Jer 34, 2 Cor 1:1—2:11
5, Jer 35, 2 Cor 2:12—3:18
6, Jer 36, 2 Cor 4
7, Jer 37, 2 Cor 5
8, Jer 38, 2 Cor 6
9, Jer 39, 2 Cor 7
10, Jer 40, 2 Cor 8
11, Jer 41, 2 Cor 9
12, Jer 42, 2 Cor 10
13, Jer 43, 2 Cor 11
14, Jer 44, 2 Cor 12:1-13
15, Jer 45, 2 Cor 12:14—13:14
16, Jer 46, Rom 1
17, Jer 47, Rom 2
18, Jer 48, Rom 3
19, Jer 49, Rom 4
20, Jer 50, Rom 5
21, Jer 51, Rom 6
22, Jer 52, Rom 7
23, Baruch 4, Rom 8:1-17
24, Baruch 5, Rom 8:18-39
25, Lam 1, Rom 9
26, Lam 2, Rom 10
27, Lam 3, Rom 11
28, Lam 4, Rom 12
29, Joel 2, 2 Pet 3
