1, Isa 44, Luke 9:18-50
2, Isa 45, Luke 9:51-62
3, Isa 46, Luke 10:1-24
4, Isa 47, Luke 10:25-42
5, Isa 48, Luke 11:1-28
6, Isa 49, Luke 11:29-54
7, Isa 50, Luke 12:1-34
8, Isa 51, Luke 12:35-53
9, Isa 52, Luke 12:54—13:9
10, Isa 53, Luke 13:10-35
11, Isa 54, Luke 14:1-24
12, Isa 55, Luke 14:25—15:10
13, Isa 56, Luke 15:11-32
14, Isa 57, Luke 16
15, Isa 58, Luke 17:1-19
16, Isa 59, Luke 17:20-37
17, Isa 60, Luke 18:1-30
18, Isa 61, Luke 18:31—19:10
19, Isa 62, Luke 19:11-28
20, Isa 63, Luke 19:29-48
21, Isa 64, Luke 20:1-26
22, Isa 65, Luke 20:27—21:4
23, Isa 66, Luke 21:5-38
24, Song of Songs 1, Luke 22:1-38
25, Song of Songs 2, Luke 2:1-14
26, Song of Songs 3, Luke 22:39-53
27, Song of Songs 4, Luke 22:54-71
28, Song of Songs 5, Luke 23:1-25
29, Song of Songs 6, Luke:23:26-49
30, Song of Songs 7, Luke 23:50—24:12
31, Song of Songs 8, Luke 24:13-53
