1, Judg 12, 1 Cor 1:1-25
2, Judg 13, 1 Cor 1:26—2:16
3, Judg 14, 1 Cor 3
4, Judg 15, 1 Cor 4:1-17
5, Judg 16, 1 Cor 4:18—5:13
6, Ruth 1, 1 Cor 6
7, Ruth 2, 1 Cor 7
8, Ruth 3, 1 Cor 8
9, Ruth 4, 1 Cor 9
10, 1 Sam 1, 1 Cor 10
11, 1 Sam 2, 1 Cor 11
12, 1 Sam 3, 1 Cor 12
13, 1 Sam 4, 1 Cor 13
14, 1 Sam 5, 1 Cor 14:1-19
15, 1 Sam 6, 1 Cor 14:20-40
16, 1 Sam 7, 1 Cor 15:1-34
17, 1 Sam 8, 1 Cor 15:35-58
18, 1 Sam 9, 1 Cor 16
19, 1 Sam 10, 2 Cor 1:1—2:11
20, 1 Sam 11, 2 Cor 2:12—3:18
21, 1 Sam 12, 2 Cor 4
22, 2 Cor 5, Luke 7:36-8:3
23, 1 Sam 13, 2 Cor 6
24, 1 Sam 14, 2 Cor 7
25, 2 Cor 8, Mark 1:14-20
26, 1 Sam 15, 2 Cor 9
27, 1 Sam 16, 2 Cor 10
28, 1 Sam 17, 2 Cor 11
29, 1 Sam 18, 2 Cor 12:1-13
30, 1 Sam 19, 2 Cor 12:14—13:14
31, 1 Sam 20, Rom 1
