1, Gal 1, Luke 2:8-21
2, Jer 1, Gal 2
3, Jer 2, Gal 3
4, Jer 3, Gal 4
5, Jer 4, Gal 5
6, Jer 5, John 2:1-12
7, Jer 6, Gal 6
8, Jer 7, 1 Thess 1
9, Jer 8, 1 Thess 2:1-16
10, Jer 9, 1 Thess 2:17-3:13
11, Jer 10, 1 Thess 4:1-12
12, Jer 11, 1 Thess 4:13-5:11
13, Jer 12, 1 Thess 5:12-28
14, Jer 13, 2 Thess 1
15, Jer 14, 2 Thess 2
16, Jer 15, 2 Thess 3
17, Jer 16, 1 Cor 1:1-25
18, Jer 17, 1 Cor 1:26—2:16
19, Jer 18, 1 Cor 3
20, Jer 19, 1 Cor 4:1-17
21, Jer 20, 1 Cor 4:18—5:13
22, Jer 21, 1 Cor 6
23, Jer 22, 1 Cor 7
24, Jer 23, 1 Cor 8
25, Jer 24, 1 Cor 9
26, Jer 25, 1 Cor 10
27, Jer 26, 1 Cor 11
28, Jer 27, 1 Cor 12
29, Jer 28, 1 Cor 13
30, Jer 29, 1 Cor 14:1-19
31, Jer 30, 1 Cor 14:20-40
