1, Exod 8, Matt 13:1-23
2, Exod 9, Matt 13:24-43
3, Exod 10, Matt 13:44-58
4, Exod 11, Matt 14
5, Exod 12, Matt 15:1-28
6, Exod 13, Matt 15:29—16:12
7, Exod 14, Matt 16:13-28
8, Exod 15, Matt 17:1-23
9, Exod 16, Matt 17:24—18:14
10, Exod 17, Matt 18:15-35
11, Exod 18, Matt 19:1-15
12, Exod 19, Matt 19:16—20:16
13, Exod 20, Matt 20:17-35
14, Exod 21, Matt 21:1-22
15, Exod 22, Matt 21:23-46
16, Exod 23, Matt 22:1-33
17, Exod 24, Matt 22:34—23:12
18, Exod 25, Matt 23:13-39
19, Exod 26, Matt 24:1-28
20, Exod 27, Matt 24:29-51
21, Exod 28, Matt 25:1-30
22, Exod 29, Matt 25:31-46
23, Exod 30, Matt 26:1-30
24, Exod 31, Matt 26:31-56
25, Exod 32, Luke 1:26-38
26, Exod 33, Matt 26:57-75
27, Exod 34, Matt 27:1-26
28, Exod 35, Matt 27:27-56
29, Exod 36, Matt 27:57—28:20
30, Exod 37, Mark 1:1-13
31, Exod 38, Mark 1:14-31
