1, Prov 30, 1 Tim 4
2, Prov 31, 1 Tim 5
3, Job 1, 1 Tim 6
4, Job 2, Titus 1
5, Job 3, Titus 2
6, Job 4, Titus 3
7, Job 5, 2 Tim 1
8, Job 6, 2 Tim 2
9, Job 7, 2 Tim 3
10, Job 8, 2 Tim 4
11, Job 9, Heb 1
12, Job 10, Heb 2
13, Job 11, Heb 3
14, Job 12, Heb 4:1-13
15, Job 13, Heb 4:14—5:10
16, Job 14, Heb 5:11—6:20
17, Job 15, Heb 7
18, Job 16, Heb 8
19, Job 17, Heb 9:1-14
20, Job 18, Heb 9:15-28
21, Job 19, Heb 10:1-18
22, Job 20, Heb 10:19-39
23, Job 21, Heb 11
24, Job 22, Heb 12:1-17
25, Job 23, Heb 12:18-29
26, Job 24, Heb 13
27, Job 25-26, Jas 1
28, Job 27, Jas 2:1-13
29, Job 28, Jas 2:14-26
30, Job 29, Jas 3
