1, Neh 12, John 6:22-40
2, Neh 13, John 6:41-71
3, Hos 1, John 7:1-24
4, Hos 2, John 7:25-52
5, Hos 3, John 7:53—8:30
6, Hos 4, John 8:31-59
7, Hos 5, John 9
8, Hos 6, John 10:1-21
9, Hos 7, John 10:22-42
10, Hos 8, John 11:1-44
11, Hos 9, John 11:45-57
12, Hos 10, John 12:1-19
13, Hos 11, John 12:20-50
14, Hos 12, John 13
15, Hos 13, John 14:1-14
16, Hos 14, John 14:15-31
17, Joel 1, John 15:1-17
18, Joel 2, John 15:18-27
19, Joel 3, John 16:1-15
20, Amos 1, John 16:16-33
21, Amos 2, John 17
22, Amos 3, John 18:1-27
23, Amos 4, John 18:28-40
24, Amos 5, John 19:1-37
25, Amos 6, John 19:38-42
26, Amos 7, John 20
27, Amos 8, John 21
28, Amos 9, Matt 1:1-17
29, Obadiah, Matt 1:18-25
30, Jonah 1, Matt 2
31, Jonah 2, Matt 3
