1, Jas 4, John 1:43-51
2, Job 30, Jas 5
3, Job 31, 1 Pet 1:1-21
4, Job 32, 1 Pet 1:22—2:10
5, Job 33, 1 Pet 2:11—3:7
6, Job 34, 1 Pet 3:8—4:6
7, Job 35, 1 Pet 4:7-19
8, Job 36, 1 Pet 5
9, Job 37, 2 Pet 1
10, Job 38, 2 Pet 2
11, Job 39, 2 Pet 3
12, Job 40, Jude 1
13, Job 41, 1 John 1:1—2:6
14, Job 42, 1 John 2:7-39
15, Eccl 1, 1 John 3:1-10
16, Eccl 2, 1 John 3:11—4:6
17, Eccl 3, 1 John 4:7-21
18, Eccl 4, 1 John 5
19, Eccl 5, 2 John 1
20, Eccl 6, 3 John 1
21, Eccl 7, Acts 1:1-14
22, Eccl 8, Acts 1:15-26
23, Eccl 9, Acts 2:1-21
24, Eccl 10, Acts 2:22-47
25, Eccl 11, Acts 3:1—4:4
26, Eccl 12, Acts 4:5-31
27, Ezek 1, Acts 4:32—5:11
28, Ezek 2, Acts 5:12-42
29, Ezek 3, Acts 6:1—7:16
30, Ezek 4, Acts 7:17-34
31, Ezek 5, Acts 7:35-8:3
