1, Deut 2, Luke 2:22-52
2, Deut 3, Luke 3:1-22
3, Deut 4, Luke 3:23-38
4, Deut 5, Luke 4:1-30
5, Deut 6, Luke 4:31-44
6, Deut 7, Luke 5:1-16
7, Deut 8, Luke 5:17-39
8, Deut 9, Luke 6:1-19
9, Deut 10, Luke 6:20-38
10, Deut 11, Luke 6:39—7:10
11, Deut 12, Luke 7:11-35
12, Deut 13, Luke 7:36-50
13, Deut 14, Luke 8:1-21
14, Deut 15, Luke 8:22-56
15, Deut 16, Luke 9:1-17
16, Deut 17, Luke 9:18-50
17, Deut 18, Luke 9:51-62
18, Deut 19, Luke 10:1-24
19, Deut 20, Luke 10:25-42
20, Deut 21, Luke 11:1-28
21, Deut 22, Luke 11:29-54
22, Deut 23, Luke 12:1-34
23, Deut 24, Luke 12:35-53
24, Deut 25, Luke 12:54—13:9
25, Deut 26, Luke 13:10-35
26, Deut 27, Luke 14:1-24
27, Deut 28, Luke 14:25—15:10
28, Deut 29, Luke 15:11-32
29, Deut 30, Luke 16
30, Deut 31, Luke 17:1-19
31, Deut 32, Luke 1:39-56
