1, 2 Sam 19, Eph 1:15-23
2, 2 Sam 20, Eph 2:1-10
3, 2 Sam 21, Eph 2:11-22
4, 2 Sam 22, Eph 3
5, 2 Sam 23, Eph 4:1-16
6, 2 Sam 24, Eph 4:17-32
7, 1 Chron 22, Eph 5:1-17
8, 1 Kings 1, Eph 5:18-33
9, 1 Chron 28, Eph 6
10, 1 Kings 2, Heb 1
11, 1 Kings 3, Heb 2
12, 1 Kings 4, Heb 3
13, 1 Kings 5, Heb 4:1-13
14, Heb 4:14—5:10, John 12:23-33
15, 1 Kings 6, Heb 5:11—6:20
16, 1 Kings 7, Heb 7
17, 1 Kings 8, Heb 8
18, 1 Kings 9, Heb 9:1-14
19, 1 Kings 10, Heb 9:15-28
20, 1 Kings 11, Heb 10:1-18
21, Heb 10:19-end, Matt 9:9-13
22, 1 Kings 12, Heb 11
23, 1 Kings 13, Heb 12:1-17
24, 1 Kings 14, Heb 12:18-29
25, 2 Chron 12 Heb 13
26, 2 Chron 13, Jas 1
27, 2 Chron 14, Jas 2:1-13
28, 2 Chron 15, Jas 2:14-26
29, Rev 12:7-12, Jas 3
30, 2 Chron 16, Jas 4
