1, Exod 39, Mark 1:32-45
2, Exod 40, Mark 2:1-22
3, Lev 1, Mark 2:23—3:12
4, Lev 8, Mark 3:13-35
5, Lev 10, Mark 4:1-34
6, Lev 16, Mark 4:35—5:20
7, Lev 17, Mark 5:21-43
8, Lev 18, Mark 6:1-29
9, Lev 19, Mark 6:30-56
10, Lev 20, Mark 7:1-23
11, Lev 23, Mark 7:24—8:10
12, Lev 26, Mark 8:11-38
13, Num 6, Mark 9:1-29
14, Num 8, Mark 9:30-50
15, Num 11, Mark 10:1-31
16, Num 12, Mark 10:32-52
17, Num 13, Mark 11:1-26
18, Num 14, Mark 11:27—12:12
19, Num 15, Mark 12:13-34
20, Num 16, Mark 12:35—13:13
21, Num 17, Mark 13:14-37
22, Num 18, Mark 14:1-25
23, Num 20, Mark 14:26-52
24, Num 21, Mark 14:53-72
25, Acts 12:11-25, Mark 15
26, Num 22, Mark 16
27, Num 23, Luke 1:1-23
28, Num 24, Luke 1:24-56
29, Num 25, Luke 1:57-80
30, Deut 1, Luke 2:1-21
