1, Isa 14, Rev 19:1-16
2, Isa 15, Mark 11:1-26
3, Isa 16, Mark 11:27—12:12
4, Isa 17, Mark 12:13-34
5, Isa 18, Mark 12:35—13:13
6, Isa 19, Mark 13:14-end
7, Isa 20, Mark 14:1-25
8, Isa 21, Mark 14:26-52
9, Isa 22, Mark 14:53-72
10, Isa 23, Mark 15
11, Isa 24, Mark 16
12, Isa 25, Luke 1:1-23
13, Isa 26, Luke 1:24-56
14, Isa 27, Luke 1:57-80
15, Isa 28, Luke 2:1-21
16, Isa 29, Luke 2:22-52
17, Isa 30, Luke 3:1-22
18, Isa 31, Luke 3:23-38
19, Isa 32, Luke 4:1-30
20, Isa 33, Luke 4:31-44
21, Isa 34, Luke 5:1-16
22, Isa 35, Luke 5:17-39
23, Isa 36, Luke 6:1-19
24, Isa 37, Luke 6:20-38
25, Isa 38, Luke 6:39—7:10
26, Isa 39, Luke 7:11-35
27, Isa 40, Luke 7:36-50
28, Isa 41, Luke 8:1-21
29, Isa 42, Luke 8:22-56
30, Isa 43, Luke 9:1-17
