1, 1 Kings 15, Jas 5
2, 1 Kings 16, 1 Pet 1:1-21
3, 1 Kings 17, 1 Pet 1:22—2:10
4, 1 Kings 18, 1 Pet 2:11—3:7
5, 1 Kings 19, 1 Pet 3:8—4:6
6, 1 Kings 20, 1 Pet 4:7-19
7, 1 Kings 21, 1 Pet 5
8, 1 Kings 22, 2 Pet 1
9, 2 Chr 20, 2 Pet 2
10, 2 Kings 1, 2 Pet 3
11, 2 Kings 2, Jude 1
12, 2 Kings 3, 1 John 1:1-2:6
13, 2 Kings 4, 1 John 2:7-29
14, 2 Kings 5, 1 John 3:1-10
15, 2 Kings 6, 1 John 3:11—4:6
16, 2 Kings 7, 1 John 4:7-21
17, 2 Kings 8, 1 John 5
18, 2 John 1, Luke 1:1-4
19, 2 Kings 9, 3 John 1
20, 2 Kings 10, Acts 1:1-14
21, 2 Kings 11, Acts 1:15-26
22, 2 Kings 12, Acts 2:1-21
23, Acts 2:22-47, James 1
24, 2 Kings 13, Acts 3:1—4:4
25, 2 Kings 14, Acts 4:5-31
26, 2 Chr 26, Acts 4:32—5:11
27, 2 Kings 15, Acts 5:12-42
28, Acts 6:1—7:16, John 14:15-31
29, 2 Kings 16, Acts 7:17-34
30, 2 Kings 17, Acts 7:35—8:3
31, 2 Chr 28, Acts 8:4-25
